monster_id,name,description_cell,cost,fill,dust,coin,ticket,revenew_coin,revenew_exp,revenew_interval,open_work_id,description_book,size,rare
1,サル,寝ぐせみたいな頭が愛らしい。,2,1,1,100,0,3,3,60,0,サルの中では最もペットにしやすいサル。漫画で出てくる肩に乗るサルといえばこれ。,91,1
2,シマウマ,白黒つけたい性格の人におすすめ。,3,1,1,200,0,7,4,60,0,名前にはウマがついているが生態はロバに近い。しましまはおしゃれの為ではなく、外敵から身を守るための鎧。,98,1
3,クマ,芸を覚えたり、意外とかわいい一面も。,2,1,1,500,0,7,5,60,0,キャラクターにすると可愛すぎる生き物に見えるが実物は激しく凶暴。万が一出会ったらとにかく逃げること。,98,1
4,ワニ,意外とすばしっこく動く。,3,1,1,700,0,5,2,60,124,超肉食な動物。その歯は何度でも生え変わり、カッターのようにするどい。,147,2
5,ゾウ,近くで見ると、想像よりも大きい。,6,1,1,1500,0,6,4,60,124,大きな耳が特徴のゾウ。インドゾウよりも気性が荒く、サーカスなどには向かない。,151,2
6,カンガルー,袋からひょっこり子カンガルーが。,3,1,1,1200,0,6,2,60,124,発情期のオスは尻尾で立ってケンカする。そんなオスに争われるメスの気持ちはきっと誰にもわからない。,119,2
7,キリン,首をなが～くしてみんなを待ってる。,5,1,1,1800,0,6,2,60,124,体が大きく、1トンくらいの体重は当たり前。日本の法律ではペットとして飼える。餌台は1日3000円くらい。,154,3
8,パンダ,中国からやってきた、みんなの人気者。,4,1,1,2250,0,3,4,60,125,短い尻尾やもふもふした体毛が愛らしい動物。中国では「熊猫」でパンダと読むらしい。,102,3
9,ゴリラ,胸を叩くドラミングが見れたらラッキー。,4,1,1,3000,0,9,1,60,27,見た目はいかついが木の実が好物の草食系。40〜50年程生きるので簡単には飼えない。,102,3
10,ライオン,黄金に輝くたてがみが超クール。,5,1,1,4500,0,8,2,60,125,百獣の王で超有名な肉食獣。毎日10キロ近くの肉を食べないと栄養的に持たない超肉食。,112,3
11,ねこ,猫カフェブームにあやかって動物園にも。,2,1,1,200,0,6,8,60,125,飼い主のハートをわし掴みみするテクニックが素晴らしい小悪魔。たまに来てはゴロゴロ甘えていく思わせぶりなヤツ。,95,1
12,いぬ,入場者が連れてきたペットではないよ！,2,1,1,200,0,6,8,60,125,ペット界の重鎮。はるか太古の時代から人間と伴に生きてきた協調性のある動物。,95,1
13,ハムスター,おやつを頬袋に詰め込む姿がキュート。,2,1,1,300,0,1,10,60,126,ごく一般的なハムスター。カラカラ走りながら永遠に回っている時は自分が何の為に生まれてきたかを考えているらしい。,77,1
14,うさぎ,ぴーんと立った耳が特徴。,2,1,1,300,0,1,10,60,126,かわいい動物ランキングに必ず食い込んでくる常連。うさぎと亀の話には不満があり人権侵害と訴えている。,88,1
15,ペンギン,氷の上をよっちよっち歩く。,2,1,1,1200,0,11,12,60,126,色白なペンギン。こう見えても海洋生物に非常に詳しく、人間に生まれていたら学者になりたかったぐらい。,70,2
16,アザラシ,たまちゃん元気かな？,3,1,1,1500,0,10,7,60,126,普通のアザラシ。特に自分を特別な存在とも可愛いとも思ってない割と謙虚なタイプ。,88,2
17,オコジョ,夏は茶色だが、冬には真っ白になる。,2,1,1,2400,0,12,9,60,126,普通のオコジョ。日頃から毛皮にされたらどうしようか悩んでいる気が小さいタイプ。イタチの仲間。,105,2
18,アライグマ,食事の前は必ず手を洗う、几帳面。,2,1,1,2100,0,8,4,60,127,名作、あらいぐまラスカルで大人気になった。大好物はザリガニ。,81,1
19,コアラ,中にチョコは入ってないよ！,2,1,1,2000,0,4,5,60,127,ユーカリしか食べない超ベジタリアン。2mもある盲腸でユーカリの毒素を無害にする身体能力は人間には真似できない。,91,1
20,ニホンザル,おしりが真っ赤だけど、痛いわけではない。,2,1,1,2600,0,7,2,60,27,お尻が赤いで有名なサル。温泉に入ったりもできるまるで人間のようなサル。,81,2
21,皇帝ペンギン,水に潜るのが得意。500mも潜れるとか。,3,1,1,4500,0,11,5,60,26,オスペンギンが卵を温める動物界一イクメンな動物。120日間も絶食して卵を温める為、子供が生まれる頃には激痩せしている。,81,2
22,イワトビペンギン,ツンツン頭のイケてるやつ。,3,1,1,4750,0,12,6,60,127,ぴょんぴょん跳ねるうさぎのようなペンギン。ペンギンの中では攻撃的な方なので、見かけても近寄らないようにしよう。,81,2
23,ケープペンギン,生息地は意外にも南アフリカ。,3,1,1,5200,0,11,3,60,127,アフリカ生まれのアフリカ育ち。実はアフリカにいるペンギンはケープペンギンだけなので、完全に独壇場となっている。,81,2
24,アデリーペンギン,皇帝ペンギンと一緒に南極に住んでいる。,3,1,1,5000,0,13,10,60,127,南極大陸では皇帝ペンギンと2トップとして君臨してるメジャーなペンギン。小石をめぐって生死をかけた戦いをする。,77,2
25,ラッコ,プカプカ浮いてるけど、実は泳ぎが下手。,4,1,1,5500,0,12,6,60,127,胸の上で貝を割る仕草は天使かと間違えるくらい可愛い。こう見えてもカワウソの仲間。魚介類が大好物。,88,2
26,セイウチ,長〜い２本の牙がちょっとこわい。,4,1,1,9000,0,10,4,60,127,体長約3メートル、体重1トン以上という規格外な大きさ。強いオスは好きなメスを何頭でもはべらせる事ができる。,130,2
27,ホワイトタイガー,めったに見れない希少なトラ。,3,1,1,13500,0,13,3,60,128,インドでは神聖なものと崇められている珍しい種類のトラ。肉食獣の中では最も大きい。,102,3
28,ヤマイヌ,実は言葉がしゃべれて、姫を育てたりする。,3,1,1,20000,0,14,5,60,128,ペットの犬が何らかの理由で野良化したもの。たまに妖怪に間違えられる事に憤慨している。,98,3
29,サーベルタイガー,漢字で書くと剣歯虎。まじかっこいい。,3,1,1,25000,0,14,4,60,128,牙がとっても大きくて長いトラ。あまりに牙が長い為、エサを食べる時に硬くて大きな肉は噛めないらしい。,109,3
30,ヒツジ,食欲旺盛で、人に餌をおねだりすることも。,2,1,1,13200,0,14,7,60,128,眠れない時に借り出される有名選手。なかなか眠れない人には大量のヒツジが消費される為、ヒツジ界では不人気。,91,3
31,オオカミ,４〜８頭の群れで行動する。,3,1,1,41800,0,17,8,60,128,大きいものだと160cm、50kgにもなる犬の祖先。本気を出せば70キロのスピードで20分も追いかけてくる。,98,3
32,アルパカ,モフモフモフモフモフモフモフモフ,3,1,1,8888,0,15,12,60,129,こう見えてもラクダの仲間。ふわふわもこもこでとても愛らしいが、危険が迫ると信じられないくらい臭い唾を吐く。,102,3
33,ホッキョクグマ,流氷にのって長距離を移動する。,5,1,1,38500,0,20,2,60,129,真っ白い毛が特徴的なクマ。見た目は可愛く見えるが好物はアザラシというハードな一面もある。,116,3
34,トナカイ,12月以外は基本暇だそうです。,4,1,1,54600,0,23,1,60,130,サンタクロースの有能な右腕。意外にも足が早く時速80kmで走る。寒い地方に住んでいる。,119,3
