work_id,title,description,type,level,appear_work_id,exp,difficulty,prize_ticket,prize_coin,prize_monster,mission_level,mission_monster,mission_staff,mission_item,mission_collect,mission_tweet,mission_login,mission_num
1,「サル」の飼育,「サル」を1匹飼育しよう,2,1,0,3,C,0,30,0,0,1,0,0,0,0,0,1
2,集金,お金を集金しよう,4,1,0,3,C,0,100,0,0,0,0,0,1,0,0,1
3,レベル2,レベル2に到達しよう,4,1,0,0,C,1,0,0,2,0,0,0,0,0,0,1
148,「オフィス」を設置しよう,施設設置画面から「オフィス」を設置しよう,3,1,0,4,C,0,150,0,0,0,0,13,0,0,0,1
4,「お世話担当」を雇おう,オフィスの中から「お世話担当」のスタッフを雇おう,3,2,0,10,C,0,150,0,0,0,1,0,0,0,0,1
5,「売店」の設置,「売店」を1つ設置しよう,1,2,0,5,C,0,300,0,0,0,0,19,0,0,0,1
6,レベル3,レベル3に到達しよう,4,2,0,0,C,1,0,0,3,0,0,0,0,0,0,1
7,「シマウマ」の飼育,「シマウマ」を1匹飼育しよう,2,2,0,5,C,0,60,0,0,2,0,0,0,0,0,1
8,「クマ」の飼育,「クマ」を1匹飼育しよう,2,4,0,5,C,0,150,0,0,3,0,0,0,0,0,1
9,「ワニ」の飼育,「ワニ」を1匹飼育しよう,2,4,0,15,C+,0,210,0,0,4,0,0,0,0,0,1
10,「ゾウ」の飼育,「ゾウ」を1匹飼育しよう,2,4,0,15,C+,0,450,0,0,5,0,0,0,0,0,1
11,「カンガルー」の飼育,「カンガルー」を1匹飼育しよう,2,4,0,15,C+,0,360,0,0,6,0,0,0,0,0,1
12,「キリン」の飼育,「キリン」を1匹飼育しよう,2,4,0,33,B,0,480,0,0,7,0,0,0,0,0,1
13,「パンダ」の飼育,「パンダ」を1匹飼育しよう,2,5,0,33,B,0,660,0,0,8,0,0,0,0,0,1
14,「ライオン」の飼育,「ライオン」を1匹飼育しよう,2,5,0,33,B,0,1200,0,0,10,0,0,0,0,0,1
15,「普通の檻」の設置,「普通の檻」を3つ設置しよう,1,7,0,5,C,0,0,1,0,0,0,1,0,0,0,3
16,「水の檻」の設置,「水の檻」を3つ設置しよう,1,7,0,5,C,0,0,4,0,0,0,2,0,0,0,3
17,「木陰の檻」の設置,「木陰の檻」を3つ設置しよう,1,7,0,5,C,0,0,2,0,0,0,3,0,0,0,3
18,「赤絨毯の檻」の設置,「赤絨毯の檻」を3つ設置しよう,1,15,0,5,B,0,0,11,0,0,0,4,0,0,0,3
19,「ポップコーン」の設置,「ポップコーン」を1つ設置しよう,1,3,0,5,C,0,30,0,0,0,0,16,0,0,0,1
20,「自動販売機」の設置,「自動販売機」を1つ設置しよう,1,3,0,5,C,0,50,0,0,0,0,17,0,0,0,1
21,「トイレ」の設置,「トイレ」を1つ設置しよう,1,3,0,5,C,0,75,0,0,0,0,18,0,0,0,1
22,「レストラン」の設置,「レストラン」を1つ設置しよう,1,7,0,5,B,0,7000,0,0,0,0,21,0,0,0,1
23,「ねこ」の飼育,「ねこ」を1匹飼育しよう,2,5,125,15,C+,0,40,0,0,11,0,0,0,0,0,1
26,「ペンギン」の飼育,「ペンギン」を1匹飼育しよう,2,5,125,15,C+,0,40,0,0,15,0,0,0,0,0,1
27,「サル」の飼育,「サル」を5匹飼育しよう,2,12,1,15,C+,0,0,1,0,1,0,0,0,0,0,5
28,「シマウマ」の飼育,「シマウマ」を2匹飼育しよう,2,12,7,15,C+,0,0,2,0,2,0,0,0,0,0,2
29,「ワニ」の飼育,「ワニ」を2匹飼育しよう,2,12,9,15,C+,0,0,4,0,4,0,0,0,0,0,2
30,「キリン」の飼育,「キリン」を3匹飼育しよう,2,12,12,15,C+,0,0,7,0,7,0,0,0,0,0,3
31,「普通の檻」の設置,「普通の檻」を5つ設置しよう,1,15,15,5,B,0,1000,0,0,0,0,1,0,0,0,5
32,「水の檻」の設置,「水の檻」を5つ設置しよう,1,15,16,5,B,0,1000,0,0,0,0,2,0,0,0,5
33,「木陰の檻」の設置,「木陰の檻」を5つ設置しよう,1,15,17,5,B,0,1000,0,0,0,0,3,0,0,0,5
34,「皇帝ペンギン」の飼育,「皇帝ペンギン」を1匹飼育しよう,2,2,26,33,B,0,1000,0,0,21,0,0,0,0,0,1
35,「ホワイトタイガー」の飼育,「ホワイトタイガー」を1匹飼育しよう,2,9,129,33,B,0,1000,0,0,27,0,0,0,0,0,1
36,「ヒツジ」の飼育,「ヒツジ」を1匹飼育しよう,2,9,129,33,B,0,1000,0,0,30,0,0,0,0,0,1
37,「オオカミ」の飼育,「オオカミ」を1匹飼育しよう,2,9,129,33,B,0,1000,0,0,31,0,0,0,0,0,1
38,「アルパカ」の飼育,「アルパカ」を1匹飼育しよう,2,9,129,33,B,0,1000,0,0,32,0,0,0,0,0,1
39,「ホッキョクグマ」の飼育,「ホッキョクグマ」を1匹飼育しよう,2,9,129,33,B,0,1000,0,0,33,0,0,0,0,0,1
40,「トナカイ」の飼育,「トナカイ」を1匹飼育しよう,2,9,129,33,B,0,1000,0,0,34,0,0,0,0,0,1
41,「芝生の檻」の設置,「芝生の檻」を2つ設置しよう,1,8,0,5,B,0,2000,0,0,0,0,5,0,0,0,2
42,「山の檻」の設置,「山の檻」を2つ設置しよう,1,8,0,5,B+,0,2000,0,0,0,0,6,0,0,0,2
43,「フルーツの檻」の設置,「フルーツの檻」を2つ設置しよう,1,8,0,5,A,1,0,0,0,0,0,7,0,0,0,2
44,「お花畑の檻」の設置,「お花畑の檻」を2つ設置しよう,1,8,0,5,AA,1,0,0,0,0,0,8,0,0,0,2
45,「広い檻」の設置,「広い檻」を2つ設置しよう,1,9,0,5,A,1,0,0,0,0,0,9,0,0,0,2
46,「滝の檻」の設置,「滝の檻」を1つ設置しよう,1,9,0,5,AA,0,100000,0,0,0,0,10,0,0,0,1
47,「大自然の檻」の設置,「大自然の檻」を1つ設置しよう,1,9,0,5,AA,0,100000,0,0,0,0,11,0,0,0,1
